file_project,total_downloads
murmurhash,2938925
tensorflow-gpu,2935780
django-redis,2934380
parsel,2922343
cymem,2922076
cliff,2920328
azure-mgmt-batch,2916168
python-jenkins,2911408
python-geohash,2892428
aws-xray-sdk,2873128
fixtures,2866393
google-cloud-trace,2859088
pydocstyle,2851143
requests-futures,2848436
azure-batch,2837075
asyncpg,2836738
proto-google-cloud-datastore-v1,2803882
msgpack-numpy,2803082
azure-mgmt-batchai,2794936
flask-migrate,2794224
azure-mgmt-reservations,2789133
azure-mgmt-msi,2782039
haversine,2780382
pyrsistent,2776155
wandb,2771121
twilio,2770523
tensorflow-metadata,2758440
django-appconf,2753001
knack,2752318
azure-mgmt-datalake-store,2748960
flask-restplus,2747019
scrapy,2741357
queuelib,2740635
pyxdg,2730941
setuptools-git,2728463
azure-mgmt-loganalytics,2724876
azure-mgmt-datalake-nspkg,2723212
flask-script,2716552
datetime,2715340
paste,2709167
plac,2701264
python-consul,2695398
azure-mgmt-web,2693821
dateparser,2692814
google-cloud-container,2669517
azure-mgmt-sql,2668805
pycountry-convert,2666215
simple-salesforce,2651037
azure-mgmt-cdn,2646049
pydispatcher,2638014
mysql-connector-python,2604181
pypiwin32,2603271
yamllint,2600853
google-cloud-bigquery-datatransfer,2600653
ruamel-ordereddict,2584794
strict-rfc3339,2568820
portalocker,2568681
invoke,2561512
azure-mgmt-redis,2555221
distro,2526853
whitenoise,2524542
pulp,2494853
crcmod,2489901
cx-oracle,2489060
pympler,2480829
azure-mgmt-monitor,2477855
torch,2455758
pkgconfig,2453389
robotframework,2448304
multi-key-dict,2447513
azure-servicebus,2445778
azure-cli-nspkg,2441802
slacker,2441178
sqlalchemy-utils,2429758
azure-mgmt-cognitiveservices,2425448
dj-database-url,2423251
pyathenajdbc,2421414
azure-mgmt-trafficmanager,2410166
python-keystoneclient,2405041
graypy,2399090
pywin32,2395216
html2text,2390445
mmh3,2386826
ldap3,2382819
backports-tempfile,2372044
flower,2367968
pystan,2361835
zmq,2357964
python-ldap,2357856
schedule,2356140
thrift-sasl,2355769
pandas-gbq,2350728
sendgrid,2349072
pyproj,2342146
beautifulsoup,2339856
openstacksdk,2335537
mypy-extensions,2326250
python-subunit,2310179
azure-mgmt-cosmosdb,2300968
pdfminer,2291341
promise,2278664
azure-cli-profile,2276544
parse-type,2275437
yapf,2273950
gdata,2264796
deprecation,2248335
azure-mgmt-datalake-analytics,2244543
hvac,2244485
google-compute-engine,2239179
azure-mgmt-iothub,2237196
azure-mgmt-devtestlabs,2232338
llvmlite,2231092
swagger-spec-validator,2229231
os-service-types,2226831
pytest-html,2221559
pygithub,2218337
pyvmomi,2216122
apscheduler,2206948
pastedeploy,2203735
azure-cli-command-modules-nspkg,2198160
easyprocess,2194544
nose-exclude,2185445
credstash,2184783
redis-py-cluster,2182405
sentry-sdk,2178703
terminaltables,2176347
fiona,2158167
pyinotify,2149190
python3-openid,2146234
baselines,2135805
mxnet,2130229
httpretty,2108503
sshtunnel,2105115
mpmath,2096079
openapi-codec,2094862
azure-mgmt-iothubprovisioningservices,2085759
suds,2084499
pip-lock,2083767
backports-csv,2083405
azure-servicemanagement-legacy,2080564
azure-mgmt-servicefabric,2078618
numba,2070593
azure-cli-telemetry,2069013
twine,2065216
cligj,2053782
python-docx,2045147
azure-mgmt,2039774
pydocumentdb,2037530
azure-cli-resource,2035558
azure-cli-acs,2033437
azure-cli-vm,2028142
s2sphere,2028126
azure-cli-network,2026922
azure,2025892
azure-cli-storage,2025442
findspark,2019750
azure-mgmt-eventhub,2019011
cachecontrol,2017774
flake8-polyfill,2014655
azure-cli-acr,2011502
azure-cli-sql,2008665
azure-mgmt-marketplaceordering,2007500
tblib,2004821
unittest-xml-reporting,1997783
brotlipy,1997041
googleads,1995242
azure-cli-interactive,1994953
behave,1992459
python-novaclient,1984997
azure-cli-iot,1982311
filechunkio,1982134
azure-mgmt-eventgrid,1980748
azure-cli-batch,1975533
cssutils,1970252
azure-mgmt-recoveryservices,1964111
appnope,1961394
